Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC2,06/10/18,Stenhousemuir,Montrose,3,2,H,1,1,D,G Beaton,11,7,3,4,9,8,1,9,3,2,0,0,2.62,3.3,2.6,2.6,3.3,2.35,2.55,3.35,2.45,2.6,3.74,2.55,2.62,3.7,2.45,2.7,3.5,2.55,34,2.75,2.6,3.74,3.41,2.6,2.44,30,1.87,1.78,2.07,1.94,14,0,2.02,1.94,1.91,1.82,2.79,3.45,2.57
SC2,06/10/18,Stranraer,Dumbarton,3,2,H,2,1,H,B Cook,10,17,3,10,20,10,6,2,1,1,0,0,2.7,3.4,2.5,2.6,3.3,2.35,2.65,3.45,2.3,2.73,3.9,2.38,2.7,3.7,2.38,2.8,3.7,2.25,33,2.8,2.67,3.9,3.54,2.5,2.32,28,1.75,1.7,2.13,2.05,13,0,2.08,2.02,1.82,1.76,2.58,4.06,2.48
SC2,20/10/18,Arbroath,Dumbarton,3,1,H,0,1,A,A Newlands,9,8,3,3,16,10,6,6,4,2,0,0,1.66,4.2,4.5,1.75,3.3,4.2,1.65,3.85,4.2,1.7,4.2,4.5,1.7,4.2,4.2,1.73,4.1,4.5,37,1.75,1.68,4.25,3.89,4.6,4.23,32,1.6,1.55,2.45,2.32,16,-0.75,1.94,1.88,1.98,1.89,1.56,4.73,5.1
SC2,20/10/18,East Fife,Brechin,3,1,H,1,0,H,C Napier,11,6,5,3,14,15,9,3,1,1,0,0,2.14,3.4,3.3,2.25,3.5,2.6,2.1,3.35,3.1,2.19,3.61,3.25,2.2,3.5,3.1,2.2,3.5,3.2,37,2.25,2.15,3.61,3.42,3.3,3.02,33,1.86,1.78,2.05,1.96,16,-0.25,1.94,1.88,1.98,1.9,2.06,3.69,3.54
SC2,20/10/18,Montrose,Airdrie Utd,0,3,A,0,2,A,S Millar,12,19,4,8,16,12,8,3,3,0,0,0,2.5,3.5,2.62,2.4,3.6,2.4,2.45,3.4,2.55,2.6,3.6,2.67,2.55,3.5,2.6,2.6,3.5,2.63,37,2.62,2.47,3.65,3.43,2.7,2.56,33,1.76,1.66,2.28,2.11,16,0,1.94,1.86,1.97,1.91,2.55,3.56,2.74
SC2,20/10/18,Raith Rvs,Stranraer,2,1,H,2,1,H,S Kirkland,3,10,2,4,11,17,1,5,1,5,1,0,1.66,4,4.75,1.57,4,4.5,1.6,3.85,4.5,1.65,4.21,4.92,1.65,4.2,4.6,1.67,4,5,36,1.7,1.63,4.21,3.94,5.27,4.56,32,1.65,1.59,2.35,2.24,15,-0.75,1.87,1.81,2.06,1.97,1.58,4.45,5.25
SC2,20/10/18,Stenhousemuir,Forfar,1,2,A,0,2,A,L Wilson,10,9,3,4,7,8,5,4,1,2,0,0,2.45,3.5,2.7,2.25,3.7,2.5,2.4,3.35,2.55,2.55,3.7,2.65,2.45,3.7,2.62,2.5,3.5,2.6,37,2.59,2.41,3.7,3.49,2.75,2.59,33,1.8,1.71,2.15,2.04,14,-0.25,2.25,2.09,1.76,1.7,2.63,3.77,2.56
SC2,27/10/18,Airdrie Utd,Stenhousemuir,0,1,A,0,0,D,A Muir,5,14,2,6,13,8,11,8,1,3,0,0,1.85,3.8,3.8,1.8,3.75,3.5,1.9,3.55,3.5,1.98,3.8,3.61,1.95,3.75,3.6,1.93,3.75,3.8,35,2,1.89,3.85,3.61,3.9,3.54,32,1.75,1.67,2.2,2.09,12,-0.5,1.97,1.9,1.94,1.87,1.83,3.92,4.16
SC2,27/10/18,Brechin,Montrose,1,3,A,0,0,D,L Wilson,4,10,1,5,16,7,4,3,2,2,0,0,2.14,3.5,3.2,2.1,3.5,2.85,2.1,3.45,2.95,2.22,3.89,2.98,2.15,3.8,3,2.2,3.6,3,35,2.25,2.14,3.89,3.56,3.2,2.92,31,1.8,1.73,2.1,2.01,12,-0.25,1.95,1.89,2,1.88,2.55,3.66,2.7
SC2,27/10/18,Dumbarton,East Fife,4,0,H,2,0,H,G Aitken,13,6,5,1,9,12,6,1,0,1,0,1,2.75,3.6,2.35,2.5,3.6,2.3,2.8,3.4,2.25,2.87,3.78,2.32,2.8,3.75,2.3,2.88,3.6,2.38,35,2.95,2.74,3.78,3.51,2.38,2.27,31,1.8,1.73,2.11,2.01,14,0.25,1.84,1.79,2.05,1.98,2.73,3.76,2.47
